CampId,MsgId,Email,CustRef,EvtTyp,EvtTs,UserAgent,LinkUrl,BounceCd
CMP0001,MSG21000001,USER11744@HOTMAIL.COM,,send,11/17/2024 18:45,,,
CMP0001,MSG21000001,user11744@hotmail.com,,delivered,11/17/2024 20:04,,,
CMP0001,MSG21000002,user11187@gmail.com,,send,11/17/2024 18:45,,,
CMP0001,MSG21000002,user11187@gmail.com,,delivered,11/17/2024 19:52,,,
CMP0001,MSG21000003,USER18128@HOTMAIL.COM,,send,11/17/2024 18:45,,,
CMP0001,MSG21000003,user18128@hotmail.com,,delivered,11/17/2024 18:50,,,
CMP0001,MSG21000003,user18128@hotmail.com,,open,11/17/2024 21:32,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,
CMP0001,MSG21000003,USER18128@HOTMAIL.COM,,open,11/18/2024 6:38,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,
CMP0001,MSG21000004,lead891298@inbox.net,,send,11/17/2024 18:45,,,
CMP0001,MSG21000004,lead891298@inbox.net,,delivered,11/17/2024 19:28,,,
CMP0001,MSG21000005,user18276@yahoo.com,,send,11/17/2024 18:45,,,
CMP0001,MSG21000005,user18276@yahoo.com,,delivered,11/17/2024 20:13,,,
CMP0001,MSG21000005,user18276@yahoo.com,,open,11/18/2024 2:03,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Safari/537.36",,
CMP0001,MSG21000006,lead782115@example.org,,send,11/17/2024 18:45,,,
CMP0001,MSG21000006,LEAD782115@EXAMPLE.ORG,,delivered,11/17/2024 18:53,,,
CMP0001,MSG21000006,lead782115@example.org,,open,11/17/2024 22:41,"Mozilla/5.0 (Linux; Android 12; SM-G991U) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36",,
CMP0001,MSG21000007,user15205@hotmail.com,,send,11/17/2024 18:45,,,
CMP0001,MSG21000007,user15205@hotmail.com,,delivered,11/17/2024 20:31,,,
CMP0001,MSG21000008,user14890@yahoo.com ,,send,11/17/2024 18:45,,,
CMP0001,MSG21000008,user14890@yahoo.com,,delivered,11/17/2024 19:41,,,
CMP0001,MSG21000008,user14890@yahoo.com,,open,11/17/2024 21:58,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Safari/537.36",,
CMP0001,MSG21000008,user14890@yahoo.com,,open,11/17/2024 23:44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Safari/537.36",,
CMP0001,MSG21000009,user15161@proton.me,,send,11/17/2024 18:45,,,
CMP0001,MSG21000009,user15161@proton.me,,delivered,11/17/2024 20:37,,,
CMP0001,MSG21000009, user15161@proton.me,,open,11/18/2024 1:18,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0 Mobile Safari/537.36",,
CMP0001,MSG21000009,user15161@proton.me,,click,11/18/2024 11:45,,https://gamepulse.tix/merch?cmp=CMP0001,
CMP0001,MSG21000010,user13960@outlook.com,,send,11/17/2024 18:45,,,
CMP0001,MSG21000010,user13960@outlook.com,,delivered,11/17/2024 20:45,,,
CMP0001,MSG21000010,user13960@outlook.com,,open,11/18/2024 1:53,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0 Mobile Safari/537.36",,
CMP0001,MSG21000010,user13960@outlook.com,,click,11/18/2024 13:59,,https://gamepulse.tix/mini-pack?cmp=CMP0001,
CMP0001,MSG21000011,USER15476@PROTON.ME,,send,11/17/2024 18:45,,,
CMP0001,MSG21000011,user15476@proton.me ,,delivered,11/17/2024 20:34,,,
CMP0001,MSG21000012,USER17872@OUTLOOK.COM,,send,11/17/2024 18:45,,,
CMP0001,MSG21000012,user17872@outlook.com,,delivered,11/17/2024 20:44,,,
CMP0001,MSG21000012,user17872@outlook.com,,open,11/17/2024 22:00,"Mozilla/5.0 (Linux; Android 12; SM-G991U) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36",,
CMP0001,MSG21000013,user16277@outlook.com,,send,11/17/2024 18:45,,,
CMP0001,MSG21000013,user16277@outlook.com,,delivered,11/17/2024 19:45,,,
CMP0001,MSG21000013,user16277@outlook.com,,open,11/17/2024 22:55,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,
CMP0001,MSG21000014,user17440@hotmail.com,,send,11/17/2024 18:45,,,
CMP0001,MSG21000014,user17440@hotmail.com,,delivered,11/17/2024 19:56,,,
CMP0001,MSG21000014,user17440@hotmail.com,,open,11/18/2024 3:31,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0 Mobile Safari/537.36",,
CMP0001,MSG21000014,user17440@hotmail.com,,open,11/18/2024 3:59,"Mozilla/5.0 (Linux; Android 13; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0 Mobile Safari/537.36",,
CMP0001,MSG21000015,user14198@outlook.com,,send,11/17/2024 18:45,,,
CMP0001,MSG21000015,user14198@outlook.com,,delivered,11/17/2024 19:56,,,
CMP0001,MSG21000016,user17133@hotmail.com,,send,11/17/2024 18:45,,,
CMP0001,MSG21000016,user17133@hotmail.com,,delivered,11/17/2024 20:41,,,
CMP0001,MSG21000017,user10640@outlook.com,,send,11/17/2024 18:45,,,
CMP0001,MSG21000017,user10640@outlook.com,,delivered,11/17/2024 19:11,,,
CMP0001,MSG21000017,user10640@outlook.com,,open,11/18/2024 1:34,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,
CMP0001,MSG21000017,user10640@outlook.com,,open,11/18/2024 10:22,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0 Safari/537.36",,
CMP0001,MSG21000017,user10640@outlook.com,,open,11/18/2024 8:52,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,
CMP0001,MSG21000018,user17079@proton.me,,send,11/17/2024 18:45,,,
CMP0001,MSG21000018,user17079@proton.me,,delivered,11/17/2024 19:49,,,
CMP0001,MSG21000018,user17079@proton.me,,open,11/17/2024 22:36,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,
CMP0001,MSG21000018,user17079@proton.me,,open,11/18/2024 9:08,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",,
CMP0001,MSG21000019,user11714@proton.me,,send,11/17/2024 18:45,,,
CMP0001,MSG21000019,user11714@proton.me,,delivered,11/17/2024 19:17,,,
CMP0001,MSG21000020,user12623@outlook.com,,send,11/17/2024 18:45,,,
