cust_id,Fn,Ln,EmailAddress,Ph,Ct,St,ZipCd,CreateDate,S,MktOptIn,FavTeam
100000, Kristy,MilLeR,parkermason@gmail.com,627.394.6504x11808,Dallas,TX,47818,3/16/2022,box_office,,GamePulse Texas
100001,marISsA, ClaytoN,sullivanlauren@young-brown.com,(529)073-1851x238,Houston,TX,75389,6/3/2021,box_office,,
100002,BaRry,diaz,pdunn@hotmail.com,+1-697-683-3918x2189,Miami,FL,74603,11/10/2022,social,1,
100003,timOThy,Davis,hallchad@ramos-bradford.com,(610)048-3935,Houston,TX,516-76,8/29/2025,partner_referral,0,
100004,hUnTER ,SchAeFeR, odomkevinhotmail.com,3731098413,Austin,TX,4231,3/2/2024,partner_referral,1,GamePulse Texas
100005, Michael,hOLLAND,stephaniejohnson@jackson-brown.com,XXX-XXX-XXXX,Dallas,TX,18936,4/14/2025,web,,
100006, Oscar,Gomez ,danielrandall@yahoo.com,557.409.3702x087,Houston,TX,82510,11/7/2024,web,0,
100007,Michael ,AtkiNS,barbara50@gmail.com,+1-518-389-2423x6930,Austin,TX,48122,9/24/2021,box_office,,
100008,aMY , Peterson,qedwards@bennett-medina.net,+1-366-276-3139x57938,Miami,FL,95315,9/14/2022,partner_referral,1,GamePulse Texas
100009, JamEs, maRTiNez,johnmann@gmail.com,060.672.3448,Dallas,TX,79151,5/4/2023,box_office,,GamePulse Texas
100010,David,mENDEZ,petersoncharles@barnes.com,+1-165-633-9564x8918,Lubbock,tx,11524,9/16/2021,web,1,GamePulse Texas
100011,OLiVIa, ClArK, willie52@yahoo.com,7582228643,Chicago,IL,72335,4/22/2022,web,1,
100012,wILLiaM, cAsTaNedA,charlesmiller@gmail.com,3077032797,Houston,TX,57863,5/11/2025,partner_referral,,
100013,dOuGlAS,Dennis,shannonrivers@gmail.com,525.553.4200x775,Fort Worth,Tx,616-46,11/23/2021,partner_referral,1,
100014,Krista , BAilEy,albert85@whitney.com,029.419.6728,Fort Worth,TX,57232,1/22/2022,box_office,,
100015, FrEDeRiCk,lArSeN,pmurphy@lee-roberts.com,+1-952-819-9206x283,Austin,TX,19197,5/21/2021,web,,
100016, BRIan,gamBLe,leeabigail@riley.com,1554541677,Corpus Christi,Tx,3920,5/28/2021,social,,
100017,JenNiFEr,Gallagher,cynthia45@hotmail.com,+1-395-296-5332x712,Dallas,TX,4846,1/20/2025,social,0,GamePulse Texas
100018, JESus, haRt,rhodessarah@hotmail.com ,XXX-XXX-XXXX,Dallas,Tx,63386,11/6/2020,social,1,GamePulse Texas
100019,Robert,Harris ,guy04@gmail.com,399-985-7726,El Paso,tx,58248,4/29/2021,web,,GamePulse Texas
100020,mElISsA,browN,sloancody@martin.net,4837992243,Plano,TX,65570,10/21/2022,partner_referral,,GamePulse Texas
100021, Christy,MASOn,stephenmathiswright.org ,+1-772-012-3664x8941,Austin,TX,56329,7/3/2021,social,0,GamePulse Texas
100022,jEsSiCA,pArkeR,courtney45yahoo.com,6724454069,Lubbock,Tx,9729,4/24/2024,partner_referral,,
100023,Samuel,WOlfE,sarah04@yahoo.com,+1-944-972-4258x755,Houston,TX,4751,10/21/2022,box_office,1,
100024,fRANK , RamoS,zwalker@frank-pham.net ,001-794-312-6398x75429,San Antonio,TX,57278,10/25/2023,social,0,
100025,paUL ,hEndRix ,christopher08@williams.com,041-583-9584x90091,San Antonio,TX,53540,2/21/2021,box_office,1,GamePulse Texas
100026, jEnNIfEr,Fletcher, gillespiesamuel@yahoo.com,394.093.3710,Corpus Christi,TX,69096,8/5/2025,partner_referral,,GamePulse Texas
100027,LIsa,JacksON,anthonyhaley@brooks-jenkins.info,001-784-873-6574x5974,Lubbock,TX,69246,9/4/2024,social,0,GamePulse Texas
100028, mICHaEl,hOUse, wilsonleah@hotmail.com,XXX-XXX-XXXX,Corpus Christi,TX,28882,1/24/2025,social,,
100029,josEpH,Martin ,rjacobs@cook.com,001-444-361-3668x538,Houston,TX,20606,1/21/2021,web,1,
