OrdId,OrdDt,CustRef,EmailAddr,Chanl,PayMthd,OrdTotal,Tx,Fee
600000,12/10/2024 9:53,101417,elizabeth01@hotmail.com,box_office,credit,54.15,9.92,7.36
600001,4/12/2025 11:03,107196,erichebert@hotmail.com,box,cc,222.82,13.69,5.51
600002,11/27/2024 15:01,102344,davidzimmerman@gmail.com,bx_office,credit,207.32,13.86,11.39
600003,4/22/2025 13:16,102344,davidzimmerman@gmail.com,box_office,credit,196.89,14.3,4.01
600004,1/7/2025 23:02,102344,davidzimmerman@gmail.com,box,credit,83.64,13.37,
600005,4/22/2025 7:25,110948,darren79@yahoo.com,phone,credit,243.91,,2.25
600006,4/8/2025 23:42,110948,darren79@yahoo.com,online,cc,86.11,8.16,10.07
600007,3/10/2025 14:47,107164,IWRIGHT@DAVIS.ORG,bx_office,cash,105.92,,
600008,10/3/2024 2:28,107164,IWRIGHT@DAVIS.ORG,ONLINE,credit,188.1,6.89,9.68
600009,4/2/2025 14:45,107164,IWRIGHT@DAVIS.ORG,ONLINE,credit,85.52,5.55,10.72
600010,11/7/2024 6:07,102911,OJONES@BRIGGS.COM,online,google_pay,55.03,13.78,7.09
600011,2/5/2025 8:55,101033, william37@gmail.com,box_office,google_pay,156.39,8.11,3.79
600012,11/7/2024 2:25,110199,CATHERINE93@MILLER-MILLER.COM,web,gpay,163.15,7.62,
600013,1/9/2025 9:22,110199,catherine93@miller-miller.com,ONLINE,google_pay,67.97,14.96,
600014,10/29/2024 9:40,114370,uhayden@yahoo.com,web_site,credit,140.62,7.04,10.21
600015,10/30/2024 23:02,114370,uhayden@yahoo.com,phone,credit,226.82,5.13,1.96
600016,1/11/2025 8:44,115113,wfoster@yahoo.com,onlne,gpay,243.91,6.47,7.39
600017,1/7/2025 2:29,108966,lparker@thomas-martinez.com,Phone,credit,42.7,,11.99
600018,11/9/2024 21:29,109193,dlewis@wang.com,Phone,credit,194.76,2.44,10.56
600019,3/5/2025 6:31,109193,dlewis@wang.com,box_office,CASH,119.72,12.46,
600020,12/26/2024 14:58,109193,dlewis@wang.com,online,credit,157.63,12.14,10.22
600021,10/22/2024 7:00,101406,peter81@yahoo.com ,onlne,debit_card,254.78,4.14,8.34
600022,1/2/2025 3:14,101406,peter81@yahoo.com,ONLINE,cc,263.2,6.8,8.41
600023,4/18/2025 14:12,104321,ASHLEYHALL@MARQUEZ.COM,bx_office,debit_card,108.01,1.25,5.54
600024,11/4/2024 3:47,103666,adam76@hotmail.com ,bx_office,cc,132.53,11.28,1.95
600025,1/6/2025 18:39,109096,btucker@holmes.org,online,apple_pay,131.43,13.17,6.01
600026,12/8/2024 3:21,109096,btucker@holmes.org,phone,cc,146.99,0.12,3.42
600027,1/14/2025 18:38,115070,hdavis@hotmail.com,web,google_pay,30.76,13.96,
600028,1/29/2025 9:15,109012, LAUREN68@GRAY.BIZ,online,cc,158.65,2.97,3.27
600029,2/18/2025 22:40,118789,blewis@erickson-prince.info,phone,gpay,26.89,5.41,
600030,1/27/2025 23:25,118789,blewis@erickson-prince.info,web_site,cc,98.83,,5.26
600031,2/22/2025 15:25,106600,christopherparsons@smith.org,ONLINE,cc,151.8,3.69,1.95
600032,10/13/2024 16:55,106600,christopherparsons@smith.org,online,credit,87.59,7.4,3.96
600033,12/20/2024 6:15,106600,christopherparsons@smith.org,box,credit,257.24,7.32,2.31
600034,11/4/2024 5:58,104421,lawrencedarren@yahoo.com,bx_office,credit,71.83,12.93,4.72
600035,10/9/2024 14:29,100043,ashley86@yahoo.com,online,credit,84.1,12.3,2.94
600036,11/25/2024 23:16,111689,aaron47@hartman.net,ONLINE,cc,209.67,9.44,11.53
600037,12/20/2024 8:10,102355,mgarrett@salazar.com,box,credit,242.65,7.3,4.28
600038,4/22/2025 11:02,116021,hperry@yahoo.com,online,credit,238.3,2.57,0.65
600039,10/13/2024 9:01,110151, washingtonmichaelrichmond.com ,box,cash,244.08,3.98,6.9
600040,1/13/2025 10:11,110151, washingtonmichaelrichmond.com,ONLINE,credit,129.75,2.94,4.38
600041,4/26/2025 23:40,110151, WASHINGTONMICHAELRICHMOND.COM,web,credit,261.8,10.91,7.06
600042,10/5/2024 10:23,110151, washingtonmichaelrichmond.com,ONLINE,credit,177.82,4.88,11.86
600043,3/2/2025 14:14,101889,douglasrichard@hotmail.com,onlne,cash,179.78,12.12,2.73
600044,1/19/2025 14:59,100171,danielyoung@shaw.com,online,cc,36.72,10.34,9.16
600045,4/25/2025 14:45,108527,dawn55@gmail.com,phone,credit,140.55,6.98,7.75
600046,3/2/2025 18:05,108527,dawn55@gmail.com,bx_office,credit,28.5,1.61,11.78
600047,2/27/2025 16:46,119606,sandraproctor@gmail.com,web_site,apple_pay,238.73,0.63,1.15
600048,4/24/2025 12:58,111998,carlostaylor@yahoo.com,bx_office,cc,253.84,11.83,9.23
600049,10/30/2024 5:58,102766,lynnjeffrey@hotmail.com,box_office,credit,114.1,14.49,10.94
600050,4/22/2025 14:32,101187,carolyn64@gonzales.biz,onlne,credit,192.62,14,3.96
600051,4/2/2025 18:40,102484,montesmakaylaturner.biz,online,debit,254.83,14.05,6.22
600052,3/15/2025 5:58,117850,harold88@vargas-ware.com,ONLINE,cc,50.5,,9.66
600053,11/19/2024 0:51,117850, harold88@vargas-ware.com,box_office,cc,153.59,,7.52
600054,2/23/2025 15:23,103872, KRISTIBALLARD@YAHOO.COM,ONLINE,gpay,88.43,11.44,6.84
600055,12/22/2024 8:52,103442,mandy50@lutz-watson.net,online,credit,139.76,3.71,11.08
600056,4/13/2025 11:28,100573, coxjacob@hudson-turner.com,box,credit,98.35,,11.4
600057,4/8/2025 3:01,100573,coxjacob@hudson-turner.com,online,apple_pay,160.72,4.2,3.43
600058,10/6/2024 2:40,107871,earmstrong@yahoo.com,ONLINE,apple_pay,38.35,3.33,1.96
600059,4/21/2025 20:18,111560,meghanwilliams@yahoo.com,online,debit,167.19,1.36,2.91
600060,12/1/2024 1:48,115382,BRIANNAIRWIN@BAKER.INFO,box,gpay,41.37,0.36,7.51
600061,2/5/2025 10:55,115382,BRIANNAIRWIN@BAKER.INFO,online,cc,43.58,6.49,2.77
600062,2/13/2025 1:14,115382,BRIANNAIRWIN@BAKER.INFO,box_office,credit,59.46,13.19,5.77
600063,3/12/2025 6:49,112788, miguel76@davidson-payne.com,online,debit,115.27,5.61,8.11
600064,3/1/2025 21:04,107131,BARNESWILLIAM@HOTMAIL.COM,onlne,gpay,115.3,6.86,11.94
600065,10/23/2024 3:56,112588,smartin@lee.com,online,cc,64.09,6.58,8.24
600066,3/25/2025 19:33,100998,bwatsoncox-farmer.com,bx_office,apple_pay,146.73,13.7,10.5
600067,1/16/2025 7:37,100998,bwatsoncox-farmer.com,online,credit,65.82,5.77,3.45
600068,1/23/2025 0:50,100998,BWATSONCOX-FARMER.COM,phone,credit,30.06,14.57,
600069,1/29/2025 4:39,100998,bwatsoncox-farmer.com,online,credit,154.55,2.1,8.26
600070,2/10/2025 23:53,108244,YHUDSON@GMAIL.COM,phone,CASH,215.53,2.56,3.18
600071,2/6/2025 0:22,108244,YHUDSON@GMAIL.COM,call_center,apple,245.64,1.22,8.63
600072,1/3/2025 10:13,108244,YHUDSON@GMAIL.COM,online,CASH,179.67,9.76,9.83
600073,12/14/2024 17:16,109266,KATHLEEN99@YAHOO.COM,onlne,credit,122.46,4.57,11.23
600074,2/23/2025 17:06,109266,kathleen99@yahoo.com,web_site,google_pay,30.95,9.53,5.53
600075,11/14/2024 18:35,113991,rhunt@gmail.com,web_site,gpay,140.38,4.76,9.56
600076,4/2/2025 21:58,112956,karenhall@yahoo.com ,online,credit,218.05,3.79,2.86
600077,10/12/2024 13:00,105593,elizabeth84@webb-fernandez.com,online,cash,147.9,8.39,1.22
600078,2/11/2025 11:50,116315,qsanders@gmail.com,online,gpay,162.23,4.51,9.07
600079,2/17/2025 3:50,117114,lunajillian@gmail.com,online,CASH,71.64,2.09,0.55
600080,2/5/2025 15:04,114137,susan63@yahoo.com,online,cash,23.77,5.43,
600081,1/14/2025 4:43,115180,margaretallen@moore.com,online,credit,218.65,7.52,
600082,2/18/2025 11:14,115180,margaretallen@moore.com,online,credit,252.72,13.02,5.6
600083,2/25/2025 9:58,108520,adrian41@lewis.info,box_office,credit,78.56,14.62,11.16
600084,2/17/2025 9:16,100324,renee22@yahoo.com,Phone,credit,128.84,1.39,3.51
600085,2/21/2025 14:13,100324,renee22@yahoo.com,web,credit,219.3,13.28,10.78
